Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
Lil'Jordan Humphrey,Texas,Big 12,14,86,1176,13.7,9,6,25,4.2,1,92,1201,13.1,10
Jalen Hurd,Baylor,Big 12,12,69,946,13.7,4,48,209,4.4,3,117,1155,9.9,7
Penny Hart,Georgia State,Sun Belt,12,49,669,13.7,2,4,-10,-2.5,0,53,659,12.4,2
Branden Mack,Temple,American,12,44,601,13.7,5,0,0,,0,44,601,13.7,5
B.J. Farrow,Liberty,Ind,11,40,546,13.7,5,1,-8,-8.0,0,41,538,13.1,5
Marquez Stevenson,Houston,American,13,75,1019,13.6,9,14,126,9.0,2,89,1145,12.9,11
Dez Fitzpatrick,Louisville,ACC,11,31,422,13.6,3,0,0,,0,31,422,13.6,3
Tyleek Collins,UNLV,MWC,12,31,422,13.6,6,12,104,8.7,1,43,526,12.2,7
DaMarkus Lodge,Ole Miss,SEC,11,65,877,13.5,4,0,0,,0,65,877,13.5,4
Ventell Bryant,Temple,American,13,51,690,13.5,3,3,12,4.0,0,54,702,13.0,3
Cody Thompson,Toledo,MAC,13,48,647,13.5,10,0,0,,0,48,647,13.5,10
Kaden Smith,Stanford,Pac-12,9,47,635,13.5,2,0,0,,0,47,635,13.5,2
Michael Lawrence,North Texas,CUSA,13,32,433,13.5,2,0,0,,0,32,433,13.5,2
Chris Taylor,Duke,ACC,13,31,419,13.5,3,0,0,,0,31,419,13.5,3
Jovon Durante,Florida Atlantic,CUSA,12,65,873,13.4,5,8,50,6.3,0,73,923,12.6,5
Dezmon Patmon,Washington State,Pac-12,13,61,816,13.4,5,0,0,,0,61,816,13.4,5
Theo Howard,UCLA,Pac-12,12,51,677,13.3,4,3,26,8.7,0,54,703,13.0,4
Mike Carrigan,Kent State,MAC,12,45,597,13.3,5,0,0,,0,45,597,13.3,5
Eric Kumah,Virginia Tech,ACC,12,42,559,13.3,7,1,0,0.0,0,43,559,13.0,7
Devin Duvernay,Texas,Big 12,14,41,546,13.3,4,1,10,10.0,0,42,556,13.2,4
Noah Fant,Iowa,Big Ten,12,39,519,13.3,7,2,1,0.5,0,41,520,12.7,7
Drew Dan,New Mexico State,Ind,12,37,491,13.3,3,0,0,,0,37,491,13.3,3
CJ O'Grady,Arkansas,SEC,8,30,400,13.3,6,0,0,,0,30,400,13.3,6
Victor Tucker,Charlotte,CUSA,11,54,712,13.2,2,0,0,,0,54,712,13.2,2
Cody White,Michigan State,Big Ten,9,42,555,13.2,2,1,22,22.0,1,43,577,13.4,3
Josh Hammond,Florida,SEC,12,28,369,13.2,4,2,32,16.0,1,30,401,13.4,5
Keishawn Watson,Western Michigan,MAC,11,25,330,13.2,2,0,0,,0,25,330,13.2,2
DeAndre Thompkins,Penn State,Big Ten,12,25,329,13.2,2,0,0,,0,25,329,13.2,2
Seth Dawkins,Louisville,ACC,11,25,329,13.2,1,0,0,,0,25,329,13.2,1
Romeo Doubs,Nevada,MWC,13,43,562,13.1,2,0,0,,0,43,562,13.1,2
Ty Fryfogle,Indiana,Big Ten,12,29,381,13.1,3,0,0,,0,29,381,13.1,3
Taivon Jacobs,Maryland,Big Ten,12,25,328,13.1,2,12,38,3.2,0,37,366,9.9,2
Armani Levias,Marshall,CUSA,12,25,327,13.1,3,0,0,,0,25,327,13.1,3
Ja'Deion High,Texas Tech,Big 12,12,62,804,13.0,4,0,0,,0,62,804,13.0,4
Donovan Peoples-Jones,Michigan,Big Ten,13,47,612,13.0,8,3,37,12.3,0,50,649,13.0,8
Quartney Davis,Texas A&M,SEC,12,45,585,13.0,7,3,13,4.3,0,48,598,12.5,7
Riley Ridley,Georgia,SEC,14,43,559,13.0,9,0,0,,0,43,559,13.0,9
