Player,School,Conf,G,Pass Rec,Pass Yds,Pass Avg,Pass TD,Rush Att,Rush Yds,Rush Avg,Rush TD,Plays,Yds,Avg,TD
Deon Cain,Clemson,ACC,14,58,734,12.7,6,0,0,,0,58,734,12.7,6
Hayden Hurst,South Carolina,SEC,13,44,559,12.7,2,9,30,3.3,1,53,589,11.1,3
Cam Serigne,Wake Forest,ACC,11,44,556,12.6,9,0,0,,0,44,556,12.6,9
Charles Nelson,Oregon,Pac-12,10,32,404,12.6,1,11,25,2.3,1,43,429,10.0,2
Akrum Wadley,Iowa,Big Ten,13,28,353,12.6,3,252,1109,4.4,10,280,1462,5.2,13
Dijon Paschal,Arkansas State,Sun Belt,10,25,315,12.6,1,0,0,,0,25,315,12.6,1
Andre Wilson,UAB,CUSA,13,54,677,12.5,6,3,27,9.0,0,57,704,12.4,6
Marchie Murdock,Iowa State,Big 12,12,41,513,12.5,5,0,0,,0,41,513,12.5,5
Marcel Williams,Marshall,CUSA,9,41,512,12.5,2,1,3,3.0,0,42,515,12.3,2
Brady Jones,UTSA,CUSA,11,26,325,12.5,2,1,-11,-11.0,0,27,314,11.6,2
Bryan Edwards,South Carolina,SEC,13,64,793,12.4,5,4,19,4.8,0,68,812,11.9,5
Kobay White,Boston College,ACC,12,34,423,12.4,2,0,0,,0,34,423,12.4,2
Xavier Lane,Western Kentucky,CUSA,8,27,336,12.4,0,0,0,,0,27,336,12.4,0
Braxton Berrios,Miami (FL),ACC,13,55,679,12.3,9,0,0,,0,55,679,12.3,9
Keenen Johnson,Tulsa,American,10,44,539,12.3,1,1,4,4.0,0,45,543,12.1,1
Rafael Araujo-Lopes,Pitt,ACC,11,43,531,12.3,2,5,6,1.2,0,48,537,11.2,2
Spencer Tears,Northern Illinois,MAC,13,43,528,12.3,4,4,-5,-1.3,0,47,523,11.1,4
Dillon Mitchell,Oregon,Pac-12,11,42,517,12.3,4,4,6,1.5,0,46,523,11.4,4
Detrich Clark,Colorado State,MWC,11,41,504,12.3,6,15,40,2.7,0,56,544,9.7,6
Willie Johnson,Marshall,CUSA,11,36,443,12.3,4,0,0,,0,36,443,12.3,4
Grant Perry,Michigan,Big Ten,9,25,307,12.3,1,0,0,,0,25,307,12.3,1
T.J. Rahming,Duke,ACC,13,65,795,12.2,2,4,3,0.8,0,69,798,11.6,2
Ja'Marcus Bradley,Louisiana,Sun Belt,12,39,475,12.2,2,2,25,12.5,0,41,500,12.2,2
Deon Stewart,Arkansas,SEC,11,33,404,12.2,3,8,10,1.3,0,41,414,10.1,3
Darren Woods Jr,UNLV,MWC,12,30,366,12.2,0,3,30,10.0,0,33,396,12.0,0
Demari Simpkins,Utah,Pac-12,13,29,354,12.2,1,4,-16,-4.0,0,33,338,10.2,1
