Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
Kelvin Benjamin,2TM,27,,15,10,67,25,37.3%,380,15.2,1,40,5.7,1.7,25.3,0
Vernon Davis,WAS,34,te/wr,14,8,36,25,69.4%,367,14.7,2,53,10.2,1.8,26.2,0
Rhett Ellison,NYG,30,TE,14,12,34,25,73.5%,272,10.9,1,29,8.0,1.8,19.4,0
Lamar Miller,HOU,27,RB,14,14,35,25,71.4%,163,6.5,1,16,4.7,1.8,11.6,1
Ty Montgomery,2TM,25,,13,0,40,25,62.5%,235,9.4,0,43,5.9,1.9,18.1,2
Pierre Garcon,SFO,32,WR,8,8,46,24,52.2%,286,11.9,1,25,6.2,3.0,35.8,0
Ryan Griffin,HOU,28,TE,14,11,43,24,55.8%,305,12.7,0,47,7.1,1.7,21.8,0
Tyler Higbee,LAR,25,TE,16,16,34,24,70.6%,292,12.2,2,36,8.6,1.5,18.3,1
Matt LaCosse,DEN,26,te,15,5,37,24,64.9%,250,10.4,1,44,6.8,1.6,16.7,0
James O'Shaughnessy,JAX,26,TE,14,9,38,24,63.2%,214,8.9,0,17,5.6,1.7,15.3,0
DeVante Parker,MIA,25,wr,11,7,47,24,51.1%,309,12.9,1,46,6.6,2.2,28.1,0
Nick Boyle,BAL,25,TE,16,13,37,23,62.2%,213,9.3,0,25,5.8,1.4,13.3,0
Marquise Goodwin,SFO,28,WR,11,8,43,23,53.5%,395,17.2,4,67,9.2,2.1,35.9,1
Tim Patrick,DEN,25,wr,16,4,41,23,56.1%,315,13.7,1,26,7.7,1.4,19.7,2
Damien Williams,KAN,26,rb,16,3,24,23,95.8%,160,7.0,2,32,6.7,1.4,10.0,1
DeAndre Carter,2TM,25,,14,4,25,22,88.0%,216,9.8,0,50,8.6,1.6,15.4,5
Corey Clement,PHI,24,,11,0,25,22,88.0%,192,8.7,0,23,7.7,2.0,17.5,4
Jason Croom,BUF,24,te,15,3,35,22,62.9%,259,11.8,1,26,7.4,1.5,17.3,2
Leonard Fournette,JAX,23,RB,8,8,26,22,84.6%,185,8.4,1,31,7.1,2.8,23.1,0
Mike Gesicki,MIA,23,te,16,7,32,22,68.8%,202,9.2,0,27,6.3,1.4,12.6,1
Latavius Murray,MIN,28,rb,16,6,26,22,84.6%,141,6.4,0,16,5.4,1.4,8.8,0
Demarcus Robinson,KAN,24,wr,16,5,33,22,66.7%,288,13.1,4,89,8.7,1.4,18.0,0
Charles Clay,BUF,29,TE/wr,13,12,36,21,58.3%,184,8.8,0,21,5.1,1.6,14.2,1
Isaiah Crowell,NYJ,25,rb,13,6,28,21,75.0%,152,7.2,0,21,5.4,1.6,11.7,0
Jakeem Grant,MIA,26,wr,10,2,34,21,61.8%,268,12.8,2,52,7.9,2.1,26.8,0
Mark Ingram,NOR,29,rb,12,6,27,21,77.8%,170,8.1,1,28,6.3,1.8,14.2,3
Cordarrelle Patterson,NWE,27,rb/wr,15,5,28,21,75.0%,247,11.8,3,55,8.8,1.4,16.5,1
John Ross,CIN,24,WR,13,10,58,21,36.2%,210,10.0,7,39,3.6,1.6,16.2,0
