Rank,Name,Team,Position,Bye,Point Prediction,Injury Report
427,Charles Clay,ARI,TE,12,0,Knee | Physically Unable to Perform
428,Chris Warren III,OAK,RB,6,0,
429,CJ Ham,MIN,RB,12,0,
430,Dawson Knox,BUF,TE,6,0,
431,DeAndre Carter,HOU,WR,10,0,Undisclosed | Physically Unable to Perform
432,DeAndre Hopkins,HOU,WR,10,0,Ankle | Physically Unable to Perform
433,Demaryius Thomas,NE,WR,10,0,Achilles | Physically Unable to Perform
434,Deon Cain,IND,WR,6,0,Knee - ACL | Questionable for Week 1
435,Derrius Guice,WAS,RB,10,0,Knee - ACL | Questionable for Week 1
436,Drew Sample,CIN,TE,9,0,
437,Dwayne Allen,MIA,TE,5,0,Undisclosed | Physically Unable to Perform
438,Dylan Cantrell,LAC,WR,12,0,
439,Foster Moreau,OAK,TE,6,0,
440,Geremy Davis,LAC,WR,12,0,
441,Irv Smith Jr.,MIN,TE,12,0,
442,J.J. Arcega-Whiteside,PHI,WR,10,0,
443,Jacob Hollister,SEA,TE,11,0,
444,Jaleel Scott,BAL,WR,8,0,
445,Jawill Davis,GB,WR,11,0,Kneecap | Questionable for Week 1
446,Jonnu Smith,TEN,TE,11,0,Knee - MCL | Physically Unable to Perform
447,Jordan Lasley,BAL,WR,8,0,
448,Joshua Perkins,PHI,TE,10,0,
449,Khadarel Hodge,LAR,WR,9,0,
450,Rodney Anderson,CIN,RB,9,0,Knee - ACL | Questionable for Week 1
451,Sony Michel,NE,RB,10,0,Knee | Physically Unable to Perform
452,Tommylee Lewis,DET,WR,5,0,Undisclosed | Physically Unable to Perform
453,Tony Pollard,DAL,RB,8,0.0,
454,Tyler Kroft,BUF,TE,6,0,Foot | Physically Unable to Perform
